image,ground_truth,prediction,CER_score
test095_1.jpg,B1201KAD,B1201KAD,0.0
test075_3.jpg,7066OF,71066JF,0.3333
test023_1.jpg,B1730JLO,1730JLO,0.125
test078_1.jpg,H1413DH,H1413DH,0.0
test034_2.jpg,W1167V0,11678,0.4286
test031_2.jpg,L1568Q0,156808,0.4286
test095_2.jpg,B2310JUK,B2310JUK,0.0
test033_1.jpg,L4561VK,4561VK,0.1429
test075_1.jpg,G2474XZ,G247412,0.2857
test066_2.jpg,H1790ZY,H1790ZY,0.0
test001_2.jpg,B2407UZO,2407UZO,0.125
test037_1.jpg,L1775V0,1775VO,0.2857
test032_1.jpg,B2754SKY,B2754,0.375
test038_2.jpg,L1877ACU,L1877ACU,0.0
test047_2.jpg,L1678ACE,1678ACE,0.125
test043_1.jpg,W1898YW,1898,0.4286
test008_1.jpg,DK1157AAB,1157AAB,0.2222
test090_1.jpg,T9314E,9314,0.3333
test087_2.jpg,B6317NXK,B6317NXX,0.125
test001_3.jpg,B2642PKM,2842PKM,0.25
test004_1.jpg,B9062VEH,89062VEH,0.125
test057_1.jpg,N1342T,1342,0.3333
test025_3.jpg,W1185ZO,1185Z0,0.2857
test021_2.jpg,W1236VZ,1236VZ,0.1429
test044_2.jpg,N1004HE,1004HE,0.1429
test005_1.jpg,DD3798KM,DD2798KM,0.125
test086_1.jpg,B1291NOJ,1291NOJ,0.125
test052_1.jpg,N6497KS,N6297KS,0.1429
test025_1.jpg,S5585LP,5585LP,0.1429
test012_1.jpg,E1887BA,1887BA,0.1429
test091_2.jpg,B9721KXV,B9721KXV,0.0
test048_1.jpg,L9316BC,9316BC,0.1429
test029_1.jpg,W1518WF,1516,0.5714
test085_1.jpg,B1315KIF,1315KIF,0.125
test065_1.jpg,H1706SW,H1706SW,0.0
test056_3.jpg,L1430HF,1430HF,0.1429
test060_1.jpg,L1846JE,1846JE,0.1429
test058_2.jpg,N5829KJ,5829KJ,0.1429
test033_2.jpg,L2693GA,2693CA,0.2857
test041_1.jpg,B1231JJA,1231JJA,0.125
test030_1.jpg,S8062NF,8062NF,0.1429
test034_1.jpg,L1811SU,18111SU,0.2857
test082_2.jpg,B9093UEX,B9093DEX,0.125
test020_1.jpg,AG8634EK,8694EK,0.375
test059_1.jpg,W8774PA,8774,0.4286
test022_2.jpg,L1202UE,L1202UE,0.0
test073_1.jpg,T1187HB,1187HB,0.1429
test099_1.jpg,B2017PBQ,B2017PBQ,0.0
test011_1.jpg,H1691IL,H1691IL,0.0
test048_2.jpg,W1838AY,1838AY,0.1429
test083_2.jpg,F5452CQ,5452CO,0.2857
test020_2.jpg,AD1329PY,AD1328PY,0.125
test039_1.jpg,L1069VK,1069VK,0.1429
test080_1.jpg,D77HSB,D77HSB,0.0
test018_1.jpg,L7603UA,L7603UA,0.0
test033_3.jpg,W9847G,W9847G,0.0
test061_2.jpg,BD1146DH,BD1146DH,0.0
test054_1.jpg,N1077AAK,1077AAK,0.125
test081_1.jpg,F8097BD,8097,0.4286
test075_2.jpg,G9173BP,G9173BP,0.0
test057_2.jpg,N4145AB,4145AB,0.1429
test052_3.jpg,N4980KJ,N4980KJ,0.0
test086_2.jpg,B1556NRC,1556NRC,0.125
test011_2.jpg,B9374RI,B9374RI,0.0
test042_1.jpg,AD1174SF,1174SF,0.25
test076_2.jpg,E500MA,E500MA,0.0
test034_4.jpg,L2570AAD,L2570AAD,0.0
test098_1.jpg,B1779DOB,B1779DOB,0.0
test026_2.jpg,L3836ZX,L3836ZX,0.0
test069_1.jpg,AA1138AK,1138AK,0.25
test057_3.jpg,N1396AAH,1396AAH,0.125
test008_2.jpg,AA1997FE,1997FE,0.25
test027_1.jpg,N1905IG,1905IG,0.1429
test097_1.jpg,B1650NOG,1650NOC,0.25
test006_1.jpg,T1329KC,T1329KC,0.0
test066_1.jpg,T1220HS,1220HS,0.1429
test059_2.jpg,B9162FXU,B9162FXU,0.0
test095_3.jpg,B28YHH,B28YHH,0.0
test092_3.jpg,B2346POC,B2346POC,0.0
test058_1.jpg,N3153ACB,N3153ACB,0.0
test015_1.jpg,AD1898BT,AD1798BT,0.125
test017_1.jpg,AD8982FS,8982FS,0.25
test079_2.jpg,A1260AJ,1260AJ,0.1429
test099_2.jpg,B1892WZT,1892WZT,0.125
test060_2.jpg,M1457ITA,M1457ITA,0.0
test084_1.jpg,B1158PYP,1158PYP,0.125
test079_1.jpg,T1688GY,1688GY,0.1429
test033_4.jpg,L1762ABJ,1762ABJ,0.125
test040_1.jpg,S1595LL,1595LL,0.1429
test096_2.jpg,B1502NRO,B1502NRO,0.0
test029_3.jpg,L1588OO,158800,0.4286
test076_3.jpg,G4689SN,C4609SN,0.2857
test085_2.jpg,B2938FVJ,B2938FVJ,0.0
test088_2.jpg,B1902VKA,1902VKA,0.125
test067_1.jpg,L1855BR,1855BR,0.1429
test058_3.jpg,N1780JL,1780JL,0.1429
test072_1.jpg,BG1870IB,1870IB,0.25
test009_1.jpg,H8518NA,8518NA,0.1429
test001_1.jpg,B9140BCD,S140BCD,0.25
test089_2.jpg,A8406ZE,A8406ZE,0.0
test068_2.jpg,G1264CM,1264CM,0.1429
test029_4.jpg,L1436AAA,L1436AAA,0.0
test036_2.jpg,B1618UAE,B1618UAE,0.0
test063_1.jpg,S1208BI,1208BI,0.1429
test089_3.jpg,B1246KRK,1246KRK,0.125
test019_2.jpg,B1959WYK,1959WYK,0.125
test053_1.jpg,N1365AAO,1365AA0,0.25
test030_2.jpg,G1894TE,1894TE,0.1429
test094_1.jpg,G1255EJ,G1255EJ,0.0
test016_1.jpg,E1517DQ,1517D0,0.2857
test084_2.jpg,B1242VOY,1242VOY,0.125
test035_1.jpg,L9643NN,9643NN,0.1429
test036_1.jpg,B1231JJA,1231JJA,0.125
test031_1.jpg,L1560JQ,1560JQ,0.1429
test051_1.jpg,N1718HC,1718HC,0.1429
test031_3.jpg,L1932AAZ,1932AAZ,0.125
test038_1.jpg,D1523YCN,1523YCN,0.125
test010_2.jpg,H1147UY,1147UY,0.1429
test062_1.jpg,B9654PEU,B9654PEU,0.0
test037_3.jpg,L1879VG,1879VC,0.2857
test013_1.jpg,B1439UZP,1439UZP,0.125
test083_1.jpg,F5052AAE,F5052AAE,0.0
test028_1.jpg,L1438EO,1438E0,0.2857
test087_3.jpg,F2215FCQ,F2215FCO,0.125
test027_3.jpg,L1840AA,1840,0.4286
test028_2.jpg,1436AAA,L1436AA,0.2857
test055_1.jpg,N1610KS,1610KS,0.1429
test011_3.jpg,D1204AIG,1204AIG,0.125
test009_2.jpg,K1649GB,1649,0.4286
test100_2.jpg,B2134PZJ,B2136PZJ,0.125
test087_4.jpg,4039NHR,4039NHR,0.0
test074_1.jpg,G1368GE,1368,0.4286
test043_2.jpg,W1470PG,1470,0.4286
test085_3.jpg,B2560SKZ,B2560SKZ,0.0
test013_2.jpg,B1128W0S,1128WOS,0.25
test019_1.jpg,AD7HS,AD7HS,0.0
test068_1.jpg,B2310UZS,B2310UZS,0.0
test052_2.jpg,N5235ABX,5235ABX,0.125
test026_1.jpg,N9652DF,N9652DE,0.1429
test076_1.jpg,G2151ASF,G2151ASF,0.0
test049_2.jpg,N79AP,79AP,0.2
test089_1.jpg,D8609N,8609,0.3333
test003_1.jpg,B2634UZF,B2634UZF,0.0
test062_2.jpg,AE7244S,7244S,0.2857
test091_1.jpg,B2910KZW,2910KZW,0.125
test050_1.jpg,L1265OF,1265OF,0.1429
test035_2.jpg,L5247GI,5247C1,0.4286
test034_3.jpg,S61310CF,6131ACE,0.375
test037_2.jpg,L300RX,L300RX,0.0
test054_2.jpg,N1084AAO,N1084AA0,0.125
test003_2.jpg,B1995JVK,B1995JVK,0.0
test067_2.jpg,AB1274EV,1274EV,0.25
test046_1.jpg,L1470ABK,L1470ABK,0.0
test097_2.jpg,B6354SVL,B6354SVL,0.0
test070_1.jpg,B2160TOB,B2160TOB,0.0
test100_1.jpg,B1071PRG,B1071PRG,0.0
test080_3.jpg,D1160ADE,1160ADE,0.125
test044_1.jpg,L1930KF,1930KF,0.1429
test032_2.jpg,W1192K,1192,0.3333
test024_1.jpg,B2964TRU,B2964TRU,0.0
test080_2.jpg,B1861TOI,B1861TAJ,0.25
test077_1.jpg,G1754QZ,G17540Z,0.1429
test073_2.jpg,A1330FP,1330FP,0.1429
test070_2.jpg,B2597BYK,2597BYK,0.125
test025_4.jpg,9840VU,9840786,0.5
test046_2.jpg,L1265MX,1265MX,0.1429
test092_1.jpg,B1104AAA,B1104AAA,0.0
test050_2.jpg,N1095G,1095G,0.1667
test064_1.jpg,AE8137G,AE8137G,0.0
test049_1.jpg,N1376DE,1376,0.4286
test007_1.jpg,AD8865EE,8865,0.5
test092_2.jpg,T1579FN,1579,0.4286
test061_1.jpg,AA1971KJ,1971KJ,0.25
test088_1.jpg,B2190TYB,B2190TYB,0.0
test029_2.jpg,G1986N,1986,0.3333
test090_2.jpg,N9579U,N0579U,0.1667
test096_1.jpg,B1354COJ,1354COJ,0.125
test014_1.jpg,B1388DFX,1388DFX,0.125
test010_1.jpg,B9416PCN,B9416PCN,0.0
test081_2.jpg,F1992AM,F1992AM,0.0
test035_4.jpg,W1696YO,W1696YO,0.0
test035_3.jpg,L2498AAM,2498AAM,0.125
test047_1.jpg,N1524SY,1524SY,0.1429
test082_1.jpg,E1824YZ,1824YZ,0.1429
test027_2.jpg,B1109CLR,1169CLR,0.25
test045_1.jpg,S1347LJ,1347LJ,0.1429
test056_1.jpg,N924CIA,924CIA,0.1429
test087_1.jpg,B6823WXR,6823WXR,0.125
test025_2.jpg,L2858RR,L2858RR,0.0
test022_1.jpg,W1825OZ,18250Z,0.2857
test071_1.jpg,G9545AG,G9545AG,0.0
test074_2.jpg,B1081CMR,1081CMR,0.125
test022_3.jpg,L3823IB,382310,0.4286
test056_2.jpg,N1623HB,1623HB,0.1429
test002_1.jpg,BG1352AE,1352AE,0.25
test021_1.jpg,BA1709DW,1709DW,0.25
test093_1.jpg,B2026BIU,2026BIU,0.125
